concessionaria;mes_ano;sentido;praca;tipo_de_cobranca;categoria;tipo_de_veiculo;volume_total;multiplicador_de_tarifa;volume_veiculo_equivalente
"AUTOPISTA FERNÃO DIAS";"01/01/2013";"Decrescente";"7 (Carmópolis de Minas)";"N/I";"Outros";"Comercial";6624,00;6,00;39744,00
"AUTOPISTA FERNÃO DIAS";"01/01/2013";"Decrescente";"7 (Carmópolis de Minas)";"N/I";"Categoria 9";"Moto";2538,00;0,50;1269,00
"AUTOPISTA FERNÃO DIAS";"01/01/2013";"Decrescente";"7 (Carmópolis de Minas)";"N/I";"Categoria 1";"Passeio";125178,00;1,00;125178,00
"AUTOPISTA FERNÃO DIAS";"01/01/2013";"Decrescente";"7 (Carmópolis de Minas)";"N/I";"Categoria 3";"Passeio";811,00;1,50;1216,50
"AUTOPISTA FERNÃO DIAS";"01/01/2013";"Decrescente";"7 (Carmópolis de Minas)";"N/I";"Categoria 5";"Passeio";91,00;2,00;182,00
"AUTOPISTA FERNÃO DIAS";"01/01/2013";"Crescente";"8 (Itatiaiuçu)";"N/I";"Categoria 2";"Comercial";17742,00;2,00;35484,00
"AUTOPISTA FERNÃO DIAS";"01/01/2013";"Crescente";"8 (Itatiaiuçu)";"N/I";"Categoria 4";"Comercial";39422,00;3,00;118266,00
"AUTOPISTA FERNÃO DIAS";"01/01/2013";"Crescente";"8 (Itatiaiuçu)";"N/I";"Categoria 6";"Comercial";11813,00;4,00;47252,00
"AUTOPISTA FERNÃO DIAS";"01/01/2013";"Crescente";"8 (Itatiaiuçu)";"N/I";"Categoria 7";"Comercial";24843,00;5,00;124215,00
"AUTOPISTA FERNÃO DIAS";"01/01/2013";"Crescente";"8 (Itatiaiuçu)";"N/I";"Categoria 8";"Comercial";24421,00;6,00;146526,00
"AUTOPISTA FERNÃO DIAS";"01/01/2013";"Crescente";"8 (Itatiaiuçu)";"N/I";"Outros";"Comercial";6898,00;6,00;41388,00
"AUTOPISTA FERNÃO DIAS";"01/01/2013";"Crescente";"8 (Itatiaiuçu)";"N/I";"Categoria 9";"Moto";3076,00;0,50;1538,00
"AUTOPISTA FERNÃO DIAS";"01/01/2013";"Crescente";"8 (Itatiaiuçu)";"N/I";"Categoria 1";"Passeio";177006,00;1,00;177006,00
